Designator,Mid X,Mid Y,Rotation,Layer
C10,162.8,309.625,180.0,top
C11,173.3,315.625,180.0,top
C12,176.25,309.625,90.0,top
C5,173.25,301.5875,270.0,top
C6,198.475,342.475,270.0,top
C8,168.1875,301.125,180.0,top
C9,223.0,332.65,270.0,top
D5,163.0,303.125,180.0,top
D6,167.0,324.825,180.0,top
J1,155.8325,321.125,270.0,top
J2,164.6425,290.2,90.0,top
J3,156.0,334.96,90.0,top
J4,223.0,312.045,90.0,top
Q3,162.55,316.1875,90.0,top
Q4,208.5625,310.375,180.0,top
R1,195.0,329.5,90.0,top
R10,162.75,306.625,180.0,top
R11,158.75,314.625,90.0,top
R3,181.25,305.125,0.0,top
R4,180.75,308.625,90.0,top
R5,186.75,313.125,0.0,top
R6,180.75,312.625,270.0,top
R7,158.75,310.625,90.0,top
R9,215.0,310.375,0.0,top
TP+5,210.0,329.5,0.0,top
TP-DELAY2,154.5,309.625,90.0,top
TP-GND1,224.0,320.5,0.0,top
TP-LED1,214.0,303.125,0.0,top
TP-RELAY1,189.5,347.0,0.0,top
TP-RELAY2,183.5,339.0,0.0,top
TP-VOLTAGEDIV1,168.0,317.0,0.0,top
U1,211.475,343.065,90.0,top
U2,169.775,309.315,270.0,top
U3,199.0,293.403,180.0,top
U4,174.0,346.597,0.0,top
